Prel	transmission
0.984156	0.997742
0.98416	1.00001
0.984118	1.001
0.984021	1.00058
0.983767	0.998514
0.983656	0.99838
0.983663	0.99601
0.983604	0.994123
0.983507	0.996164
0.983295	0.998443
0.983125	0.998787
0.983205	1.00107
0.983024	0.997497
0.982878	0.998177
0.982784	0.991373
0.982635	0.998822
0.982545	0.989809
0.982454	0.996143
0.982353	0.998787
0.982128	1.00107
0.98201	1.00022
0.982096	1.00166
0.981756	1.00038
0.981714	1.00176
0.981607	0.999664
0.98135	0.999208
0.981225	0.99575
0.981263	1.00269
0.981124	1.00215
0.980888	1.00124
0.980787	1.00065
0.980759	0.992867
0.980578	0.999986
0.980439	1.00175
0.980377	1.00329
0.980109	0.999601
0.980061	1.003
0.97996	1.00162
0.9797	1.00227
0.979668	1.00202
0.979571	1.00245
0.979311	1.00207
0.979196	1.00332
0.979172	1.00389
0.978967	1.00091
0.978838	1.00384
0.978671	1.00314
0.978505	1.0025
0.978477	1.00274
0.978348	1.00349
0.97806	1.0041
0.977966	1.00399
0.977945	1.00586
0.977622	1.00614
0.977515	1.00626
0.977195	1.00751
0.977139	1.00727
0.97707	1.00801
0.976893	1.00712
0.976837	1.00801
0.976639	1.00928
0.976358	1.0068
0.97634	1.00628
0.976233	1.00927
0.975941	0.999727
0.975757	1.00357
0.975677	1.00518
0.975476	1.0049
0.975239	1.00727
0.975104	1.00529
0.974989	1.00614
0.974684	1.00482
0.974451	1.00372
0.974458	0.993015
0.974336	1.00363
0.974006	1.00338
0.973905	1.00375
0.973756	1.0047
0.973506	1.0023
0.973266	1.00412
0.973225	0.992776
0.973082	0.992818
0.972832	1.00222
0.972683	1.00387
0.972506	1.00362
0.972301	1.00507
0.972224	1.00335
0.97195	1.00125
0.971679	1.002
0.971474	1.00311
0.971443	1.00344
0.971081	1.00506
0.97104	1.00205
0.970887	1.0033
0.970553	1.00224
0.970307	1.00589
0.970209	1.00572
0.970008	1.00027
0.969911	0.994453
0.969647	1.00046
0.969421	1.00182
0.96914	1.00011
0.969181	1.00037
0.968928	1.00111
0.968733	1.00256
0.968549	1.00055
0.968337	1.00387
0.968174	1.00292
0.968011	1.00496
0.967792	0.998002
0.967753	0.998836
0.967458	1.00508
0.967274	0.997377
0.966975	1.00657
0.966861	1.00086
0.966597	1.0059
0.966298	1.00727
0.966284	1.00687
0.966034	1.00692
0.965871	1.00613
0.96576	1.00842
0.965436	1.0058
0.965325	1.00397
0.965072	1.00253
0.964856	1.00609
0.964582	1.00297
0.964575	1.00622
0.964235	1.0048
0.964089	1.0031
0.963995	1.00518
0.963776	1.00229
0.963453	1.00314
0.963408	1.00394
0.963192	1.00288
0.962883	0.999636
0.962845	1.00373
0.962668	1.00361
0.96256	1.00338
0.962348	1.00029
0.962084	1.00168
0.961827	0.999208
0.961789	0.998471
0.961508	0.999874
0.961369	0.997987
0.961219	0.997006
0.960987	0.997286
0.960632	0.995694
0.960542	0.996129
0.960414	0.996003
0.960163	0.995968
0.959962	0.997539
0.959729	0.9973
0.959611	0.997861
0.959455	0.998703
0.959312	0.999678
0.959093	0.99669
0.958895	0.996451
0.958805	0.997497
0.958517	0.9973
0.958322	0.998471
0.958333	0.998521
0.958051	0.997426
0.95793	0.997644
0.957544	0.996522
0.957586	0.998135
0.957259	0.998598
0.957089	0.996977
0.957058	0.996739
0.956738	0.998773
0.956415	1.00133
0.956398	1.00162
0.956224	1.00252
0.956005	0.999271
0.955856	0.998268
0.955661	0.999432
0.955488	0.999916
0.955418	0.998654
0.955161	0.999383
0.954981	0.998212
0.954817	0.997959
0.954678	1.00062
0.954394	0.999131
0.954262	1.00075
0.954248	1.00067
0.953904	1.0002
0.953619	1.00268
0.953612	1.00273
0.953362	1.00151
0.953202	1.00248
0.953042	1.00309
0.952806	1.0062
0.952657	1.00815
0.952403	1.00715
0.952372	1.00887
0.952111	1.00807
0.951903	1.00717
0.951896	1.00733
