Pcell	transmission
140.289	23344.1
140.286	23326.1
140.305	23308
140.298	23289.9
140.278	23271.8
140.277	23253.8
140.292	23235.8
140.275	23217.8
140.28	23199.9
140.278	23181.9
140.282	23164
140.287	23146
140.278	23128
140.281	23110.1
140.277	23092.1
140.281	23074.1
140.28	23056.1
140.279	23038.1
140.272	23020.1
140.274	23002.2
140.276	22984.2
140.268	22966.2
140.275	22948.3
140.273	22930.3
140.277	22912.3
140.275	22894.3
140.273	22876.2
140.269	22858.2
140.27	22840.2
140.27	22822.2
140.272	22804.1
140.269	22786.1
140.27	22768
140.263	22750
140.268	22732
140.268	22714
140.268	22695.9
140.26	22677.9
140.266	22659.9
140.263	22641.9
140.256	22623.9
140.253	22606
140.256	22588.1
140.256	22570.2
140.252	22552.4
140.239	22534.6
140.251	22516.9
140.252	22499.1
140.269	22481.2
140.252	22463.3
140.234	22445.5
140.222	22427.9
140.252	22410.2
140.217	22392.7
140.253	22375.1
140.228	22357.5
140.25	22339.9
140.251	22322.1
140.215	22304.5
140.214	22287.1
140.212	22269.7
140.212	22252.4
140.217	22235.2
140.213	22217.9
140.227	22200.6
140.229	22183.2
140.223	22165.8
140.232	22148.2
140.211	22130.7
140.206	22113.3
140.21	22095.9
140.205	22078.5
140.207	22061.1
140.198	22043.8
140.209	22026.5
140.206	22009.1
140.204	21991.7
140.19	21974.4
140.201	21957
140.203	21939.7
140.194	21922.3
140.193	21904.9
140.192	21887.6
140.192	21870.2
140.172	21853
140.179	21835.8
140.168	21818.7
140.157	21801.7
140.155	21784.9
140.163	21768
140.163	21751.2
140.152	21734.4
140.141	21717.8
140.136	21701.2
140.145	21684.7
140.148	21668.1
140.152	21651.5
140.129	21634.9
140.135	21618.4
140.152	21601.7
140.15	21585
140.15	21568.1
140.125	21551.3
140.126	21534.6
140.125	21517.8
140.123	21501.1
140.15	21484.2
140.123	21467.3
140.127	21450.4
140.125	21433.5
140.127	21416.5
140.137	21399.4
140.126	21382.3
140.128	21365.2
140.128	21347.9
140.128	21330.6
140.123	21313.3
140.128	21296
140.105	21278.7
140.111	21261.5
140.106	21244.3
140.104	21227.1
140.09	21210.1
140.087	21193.1
140.08	21176.3
140.088	21159.5
140.086	21142.7
140.082	21125.9
140.086	21109.2
140.074	21092.4
140.068	21075.8
140.073	21059.1
140.088	21042.4
140.087	21025.5
140.062	21008.7
140.072	20991.9
140.071	20975.1
140.075	20958.2
140.088	20941.1
140.087	20924
140.074	20906.8
140.086	20889.4
140.079	20872.1
140.087	20854.6
140.075	20837.1
140.087	20819.5
140.087	20801.8
140.087	20784
140.069	20766.3
140.066	20748.6
140.065	20731
140.086	20713.2
140.085	20695.4
140.088	20677.5
140.068	20659.6
140.087	20641.6
140.086	20623.6
140.067	20605.6
140.086	20587.5
140.064	20569.6
140.086	20551.5
140.086	20533.4
140.085	20515.2
140.082	20497
140.083	20478.8
140.066	20460.6
140.065	20442.6
140.063	20424.6
140.069	20406.6
140.072	20388.6
140.063	20370.6
140.062	20352.7
140.075	20334.8
140.064	20316.8
140.053	20299
140.078	20281
140.086	20262.9
140.077	20244.8
140.063	20226.7
140.077	20208.6
140.075	20190.4
